phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
medicaid program,health care,2,4,6,8.7,14.81,0.387546967,0.533591646
quality health,health care,4,3,7,17.39,11.11,0.34989648,0.554171736
quality health care,health care,4,3,7,17.39,11.11,0.34989648,0.554171736
health services,health care,7,6,13,30.43,22.22,0.322185061,0.570297453
medicaid,health care,12,16,28,52.17,59.26,0.111341155,0.738622386
health,health care,23,25,48,100,92.59,0.070987654,0.789904148
illness,health care,5,5,10,21.74,18.52,0.064412238,0.799653425
health substance,health care,3,3,6,13.04,11.11,0.038647343,0.844148964
medicaid expansion,health care,4,5,9,17.39,18.52,0.008767221,0.925400344
drugs,mental health/substance abuse,5,11,16,21.74,40.74,1.40136876,0.23649453
mental health issues,mental health/substance abuse,1,4,5,4.35,14.81,1.360708535,0.243414724
mental health,mental health/substance abuse,10,18,28,43.48,66.67,1.192546584,0.274816481
opioid addiction,mental health/substance abuse,2,5,7,8.7,18.52,0.855992639,0.354862558
drug,mental health/substance abuse,10,16,26,43.48,59.26,0.594822247,0.440560421
addiction,mental health/substance abuse,6,10,16,26.09,37.04,0.465378422,0.495121029
mental health care,mental health/substance abuse,2,4,6,8.7,14.81,0.387546967,0.533591646
substance use,mental health/substance abuse,2,4,6,8.7,14.81,0.387546967,0.533591646
overdose,mental health/substance abuse,6,5,11,26.09,18.52,0.323378715,0.569584201
substance,mental health/substance abuse,7,10,17,30.43,37.04,0.159230842,0.689865651
opioid crisis,mental health/substance abuse,4,6,10,17.39,22.22,0.144927536,0.703430697
opioid,mental health/substance abuse,11,11,22,47.83,40.74,0.141706924,0.706589961
substance abuse,mental health/substance abuse,6,6,12,26.09,22.22,0.077294686,0.780997606
mental health substance,mental health/substance abuse,3,3,6,13.04,11.11,0.038647343,0.844148964
mental health services,mental health/substance abuse,4,5,9,17.39,18.52,0.008767221,0.925400344
mental illness,mental health/substance abuse,4,5,9,17.39,18.52,0.008767221,0.925400344
